name,address,delivery,number,category,choice
고져스키친,https://store.naver.com/restaurants/detail?id=37616064,X,02-2292-1584,양식,X
옵션,https://store.naver.com/restaurants/detail?id=20838247,X,02-2296-3632,양식,X
핵스테이크,https://store.naver.com/restaurants/detail?id=38724164,X,02-2200-1339,양식,X
매드포갈릭,https://store.naver.com/restaurants/detail?id=37366180,X,02-2200-1645,양식,X
빕스,https://store.naver.com/restaurants/detail?id=12950065,X,02-2200-1397,양식,X
애슐리,https://store.naver.com/restaurants/detail?id=37547324,X,02-6412-1223,양식,X
조명창고,https://store.naver.com/restaurants/detail?id=467064143,X,02-2299-5606,양식,X
제이스 플레이트,https://store.naver.com/restaurants/detail?id=19558203,X,02-2299-6585,양식,X
경성함바그,https://store.naver.com/restaurants/detail?id=1604012165,X,02-2200-1474,양식,X
맥도날드,https://store.naver.com/restaurants/detail?id=11807453,O,070-7017-0469,패스트푸드,X
KFC,https://store.naver.com/restaurants/detail?id=17901231,O,02-2200-1511,패스트푸드,X
SUBWAY,https://store.naver.com/restaurants/detail?id=1991840429,O,02-2299-3555,패스트푸드,X
롯데리아,https://store.naver.com/restaurants/detail?id=17901013,O,02-2297-7111,패스트푸드,X
맘스터치,https://store.naver.com/restaurants/detail?id=37092795,O,02-2291-8982,패스트푸드,X
피자헤븐,https://store.naver.com/restaurants/detail?id=34590342,O,02-2295-7570,패스트푸드,X
피자스쿨,https://store.naver.com/restaurants/detail?id=287046604,O,02-2299-4666,패스트푸드,X
버거쑈,https://store.naver.com/restaurants/detail?id=37061146,X,02-2297-7592,패스트푸드,X
플라잉볼,https://store.naver.com/restaurants/detail?id=1356320742,X,NULL,패스트푸드,X
굽네치킨,https://store.naver.com/restaurants/detail?id=13395106,O,0504-3143-8412,패스트푸드,X
오븐에빠진닭,https://store.naver.com/restaurants/detail?id=19459581,O,02-2282-5892,패스트푸드,X
크라제멕스,https://store.naver.com/restaurants/detail?id=37617404,X,070-4211-8901,패스트푸드,X
BHC,https://store.naver.com/restaurants/detail?id=36886247,O,02-2292-5588,패스트푸드,X
